R,887880,1
W,27,1
W,2748,1
W,2764,1
W,2780,1
W,6475,1
W,6476,1
W,6491,1
W,6492,1
W,6493,1
W,6494,1
W,6495,1
W,6496,1
W,6507,1
W,6508,1
W,8538,1
W,32602,1
W,869436,1
W,869437,1
W,869438,1
W,869439,1
W,869440,1
W,869441,1
W,869442,1
W,869443,1
W,869444,1
W,869445,1
W,869446,1
W,869447,1
W,869448,1
W,869449,1
W,869450,1
W,869451,1
W,869452,1
W,869453,1
W,869454,1
W,869455,1
W,869456,1
W,869457,1
W,869458,1
W,869459,1
W,869460,1
W,869461,1
W,869462,1
W,869463,1
W,869464,1
W,869465,1
W,869466,1
W,869467,1
W,869468,1
W,869469,1
W,869470,1
W,869471,1
W,869472,1
W,869473,1
W,869474,1
W,869475,1
W,869476,1
W,869477,1
W,869478,1
W,869479,1
W,869480,1
W,869481,1
W,869482,1
W,869483,1
W,869484,1
W,869485,1
W,869486,1
W,869487,1
W,869488,1
W,869489,1
W,869490,1
W,869491,1
W,869492,1
W,869493,1
W,869494,1
W,869495,1
W,869496,1
W,869497,1
W,869498,1
W,869499,1
W,869500,1
W,869501,1
W,869502,1
W,869503,1
W,869504,1
W,869505,1
W,869506,1
W,869507,1
W,869508,1
W,869509,1
W,869510,1
W,869511,1
W,869512,1
W,869513,1
W,869514,1
W,869515,1
W,869516,1
W,869517,1
W,869518,1
W,869519,1
W,869520,1
W,869521,1
W,869522,1
W,869523,1
W,869524,1
W,869525,1
W,869526,1
W,869527,1
W,869528,1
W,869529,1
W,869530,1
W,869531,1
W,869532,1
W,869533,1
W,869534,1
W,869535,1
W,869536,1
W,869537,1
W,869538,1
W,869539,1
W,869540,1
W,869541,1
W,869542,1
W,869543,1
W,869544,1
W,869545,1
W,869546,1
W,869547,1
W,869548,1
W,869549,1
W,869550,1
W,869551,1
W,869552,1
W,869553,1
W,869554,1
W,869555,1
W,869556,1
W,869557,1
W,869558,1
W,869559,1
W,869560,1
W,869561,1
W,869562,1
W,869563,1
W,869564,1
W,869565,1
W,869566,1
W,869567,1
W,869568,1
W,869569,1
W,869570,1
W,869571,1
W,869572,1
W,869573,1
W,869574,1
W,869575,1
W,869576,1
W,869577,1
W,869578,1
W,869579,1
W,869580,1
W,869581,1
W,869582,1
W,869583,1
W,869584,1
W,869585,1
W,869586,1
W,869587,1
W,869588,1
W,869589,1
W,869590,1
W,869591,1
W,869592,1
W,869593,1
W,869594,1
W,869595,1
W,869596,1
W,869597,1
W,869598,1
W,869599,1
W,869600,1
W,869601,1
W,869602,1
W,869603,1
W,869604,1
W,869605,1
W,869606,1
W,869607,1
W,869608,1
W,869609,1
W,869610,1
W,869611,1
W,869612,1
W,869613,1
W,869614,1
W,869615,1
W,869616,1
W,869617,1
W,869618,1
W,869619,1
W,869620,1
W,869621,1
W,869622,1
W,869623,1
W,869624,1
W,869625,1
W,869626,1
W,869627,1
W,869628,1
W,869629,1
W,869630,1
W,869631,1
W,869632,1
W,869633,1
W,869634,1
